URL;1.1;1.2;1.3;1.4;1.5;1.6;1.7;1.8;1.9;1.10;1.11;1.12;1.13;1.14;2.1;2.2;2.3;2.4;2.5;2.6;Fallos Nivel A;Fallos Nivel AA;Puntuación Media;Tipo
https://sede.administracionespublicas.gob.es;1 P;1 P;1 P;- P;1 P;1 P;0 F;1 P;- P;- P;0 F;1 P;1 P;1 P;0 F;0 F;1 P;0 F;1 P;1 P;2;3;7.1;PUB
https://www.sanidad.gob.es;1 P;1 P;1 P;- P;1 P;1 P;0 F;1 P;1 P;1 P;1 P;0 F;1 P;1 P;0 F;1 P;1 P;1 P;1 P;1 P;2;1;8.4;PUB
https://www.imserso.gob.es;1 P;1 P;1 P;- P;1 P;1 P;0 F;1 P;1 P;1 P;1 P;1 P;1 P;1 P;0 F;1 P;1 P;1 P;1 P;1 P;1;1;8.9;PUB
https://datos.gob.es/es/;0 F;0 F;1 P;- P;1 P;1 P;0 F;1 P;1 P;1 P;1 P;0 F;1 P;1 P;0 F;1 P;1 P;1 P;1 P;1 P;4;1;7.4;PUB
https://www.ciencia.gob.es;0 F;0 F;0 F;1 P;1 P;0 F;0 F;0 F;0 F;1 P;1 P;0 F;1 P;0 F;0 F;1 P;1 P;1 P;0 F;1 P;9;2;4.5;PUB
https://pnsd.sanidad.gob.es;1 P;1 P;1 P;- P;1 P;1 P;0 F;1 P;1 P;1 P;1 P;1 P;1 P;0 F;0 F;0 F;1 P;1 P;1 P;1 P;2;2;7.9;PUB
https://www.lamoncloa.gob.es/Paginas/index.aspx;0 F;1 P;1 P;- P;1 P;1 P;0 F;1 P;1 P;1 P;1 P;0 F;1 P;1 P;0 F;1 P;1 P;1 P;1 P;1 P;3;1;7.9;PUB
https://www.culturaydeporte.gob.es/portada.html;- P;1 P;0 F;- P;1 P;1 P;0 F;1 P;- P;- P;1 P;1 P;1 P;1 P;0 F;1 P;1 P;1 P;1 P;1 P;2;1;8.1;PUB
https://aneca.sede.gob.es;1 P;0 F;0 F;- P;1 P;1 P;0 F;1 P;- P;- P;0 F;0 F;1 P;1 P;0 F;0 F;1 P;0 F;1 P;1 P;5;3;5.3;PUB
https://www.sepe.es/HomeSepe/Personas/encontrar-trabajo/Garantia-Juvenil.html;1 P;1 P;0 F;- P;1 P;0 F;0 F;1 P;1 P;1 P;1 P;1 P;1 P;0 F;0 F;1 P;1 P;1 P;0 F;1 P;4;2;6.8;PUB
https://sede.administracion.gob.es/PAG_Sede/HomeSede.html;1 P;0 F;1 P;- P;1 P;1 P;0 F;1 P;1 P;1 P;1 P;0 F;1 P;1 P;0 F;1 P;1 P;1 P;1 P;1 P;3;1;7.9;PUB
https://cpage.mpr.gob.es;0 F;0 F;1 P;- P;0 F;0 F;0 F;1 P;0 F;0 F;0 F;1 P;1 P;0 F;0 F;1 P;1 P;1 P;1 P;1 P;9;1;4.7;PUB
https://sede.defensa.gob.es/acceda/index;1 P;1 P;1 P;- P;1 P;1 P;0 F;1 P;1 P;1 P;1 P;1 P;1 P;1 P;0 F;1 P;1 P;1 P;0 F;1 P;1;2;8.4;PUB
https://face.gob.es;0 F;0 F;1 P;- P;0 F;1 P;0 F;1 P;0 F;1 P;1 P;0 F;1 P;1 P;0 F;0 F;1 P;0 F;0 F;1 P;6;4;4.7;PUB
https://generaciond.gob.es;0 F;0.5 P;1 P;- P;0 F;0 F;0 F;1 P;1 P;1 P;0 F;0 F;1 P;0 F;0 F;1 P;1 P;1 P;0 F;1 P;7;2;4.7;PUB
https://carpetaciudadana.gob.es;1 P;1 P;1 P;- P;1 P;1 P;0 F;1 P;1 P;1 P;1 P;0 F;1 P;1 P;0 F;1 P;1 P;1 P;1 P;1 P;2;1;8.4;PUB
https://industria.gob.es/es-es/Paginas/Index.aspx;1 P;1 P;1 P;- P;1 P;1 P;0 F;1 P;1 P;1 P;1 P;1 P;1 P;1 P;0 F;1 P;1 P;1 P;1 P;0 F;1;2;8.4;PUB
https://ejercito.defensa.gob.es;1 P;0 F;1 P;- P;1 P;0 F;0 F;1 P;1 P;1 P;0 F;0 F;1 P;0 F;0 F;1 P;1 P;1 P;0 F;0 F;6;3;5.3;PUB
https://www.empleate.gob.es/empleo/index_nojs.html?JAVASCRIPTSTATUS=NONE;0 F;1 P;0 F;- P;1 P;1 P;0 F;1 P;0 F;1 P;0 F;0 F;1 P;0 F;0 F;1 P;1 P;0 F;1 P;0 F;7;3;4.7;PUB
https://sede.ine.gob.es;1 P;1 P;1 P;- P;1 P;1 P;0 F;1 P;1 P;1 P;1 P;1 P;1 P;1 P;0 F;1 P;1 P;1 P;1 P;1 P;1;1;8.9;PUB
